Date,Team,Acquired,Relinquised,Notes
3/30/2017,Clippers,,Austin Rivers,strained left hamstring (DTD)
3/30/2017,Nuggets,,Darrell Arthur,sore left knee (DTD)
3/31/2017,Blazers,,Jusuf Nurkic,fractured fibula in right leg (out for season)
3/31/2017,Bucks,,Malcolm Brogdon,sore back (DTD)
3/31/2017,Jazz,,Raulzinho Neto / Raul Neto,strained right groin (DTD)
3/31/2017,Lakers,,Ivica Zubac,sprained right ankle (out for season)
3/31/2017,Mavericks,,Seth Curry,sore left shoulder (out for season)
3/31/2017,Pelicans,,Alexis Ajinca / Alex Ajinca,hip injury (DTD)
3/31/2017,Warriors,,Patrick McCaw,leg cramps (DTD)
4/1/2017,Hawks,,Malcolm Delaney,back spasms (DTD)
4/1/2017,Spurs,,Danny Green,bruised left quadricep (DTD)
4/2/2017,76ers,,Sergio Rodriguez,strained left knee (out for season)
4/2/2017,Cavaliers,Richard Jefferson,,returned to lineup
4/2/2017,Jazz,,Raulzinho Neto / Raul Neto,strained right groin (DTD)
4/2/2017,Nuggets,,Jameer Nelson,calf injury (DTD)
4/2/2017,Pelicans,Alexis Ajinca / Alex Ajinca,,returned to lineup
4/2/2017,Spurs,,LaMarcus Aldridge,sprained left/right thumb (DTD)
4/2/2017,Warriors,Patrick McCaw,,returned to lineup
4/3/2017,Rockets,,Sam Dekker,fractured left hand (out indefinitely)
4/4/2017,76ers,,Sergio Rodriguez,strained left hamstring (out for season)
4/4/2017,Grizzlies,JaMychal Green,,returned to lineup
4/4/2017,Grizzlies,Marc Gasol,,returned to lineup
4/4/2017,Jazz,,Rodney Hood,sore right knee (DTD)
4/4/2017,Kings,,Anthony Tolliver,strained right hip / lower back (DTD)
4/4/2017,Kings,,Arron Afflalo,strained lower back / hip (DTD)
4/4/2017,Kings,,Darren Collison,rest (DTD)
4/4/2017,Kings,,Kosta Koufos,rest (DTD)
4/4/2017,Kings,,Ty Lawson,rest (DTD)
4/4/2017,Mavericks,,Dirk Nowitzki,sore right Achilles (DTD)
4/4/2017,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest (DTD)
4/4/2017,Spurs,LaMarcus Aldridge,,returned to lineup
4/4/2017,Warriors,Kevon Looney,,returned to lineup
4/4/2017,Blazers,,Jusuf Nurkic,fractured fibula in right leg (DTD)
4/5/2017,Grizzlies,,Mike Conley Jr.,eye injury (DTD)
4/5/2017,Heat,,Luke Babbitt,strained right hip flexor (out for season)
4/5/2017,Knicks,,Derrick Rose,surgery on left knee to repair torn meniscus (out for season)
4/5/2017,Mavericks,Dirk Nowitzki,,returned to lineup
4/5/2017,Mavericks,Wesley Matthews / Wes Matthews Jr.,,returned to lineup
4/5/2017,Nuggets,Jameer Nelson,,returned to lineup
4/5/2017,Spurs,,Emanuel Ginobili / Manu Ginobili,bruised right quadriceps (DTD)
4/5/2017,Warriors,,Andre Iguodala,rest (DTD)
4/5/2017,Warriors,,Draymond Green,rest (DTD)
4/6/2017,Nuggets,,Jameer Nelson,strained right calf (out for season)
4/6/2017,Pacers,Al Jefferson,,returned to lineup
4/6/2017,Pelicans,,DeMarcus Cousins,tendinitis in right Achilles (out for season)
4/6/2017,Knicks,,Kristaps Porzingis,sore lower back (out for season)
4/7/2017,Hawks,,Dennis Schroder,rest / foot injury (DTD)
4/7/2017,Hawks,,Dwight Howard,rest (DTD)
4/7/2017,Hawks,,Kent Bazemore,bone bruise in right knee (DTD)
4/7/2017,Jazz,Rodney Hood,,returned to lineup
4/7/2017,Kings,,Garrett Temple,rest (DTD)
4/7/2017,Kings,,Kosta Koufos,rest (DTD)
4/7/2017,Kings,Anthony Tolliver,,returned to lineup
4/7/2017,Kings,Arron Afflalo,,returned to lineup
4/7/2017,Kings,Darren Collison,,returned to lineup
4/7/2017,Knicks,,Carmelo Anthony,sore left knee (DTD)
4/7/2017,Spurs,,(William) Tony Parker,rest (DTD)
4/7/2017,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD)
4/7/2017,Spurs,,Kawhi Leonard,rest (DTD)
4/7/2017,Spurs,,LaMarcus Aldridge,rest (DTD)
4/7/2017,Spurs,,Pau Gasol,rest (DTD)
4/7/2017,Thunder,,Andre Roberson,sore left knee (DTD)
4/8/2017,Blazers,,Allen Crabbe,sore left foot (DTD)
4/8/2017,Celtics,,James Young,illness (DTD)
4/8/2017,Hornets,,Marco Belinelli,strained left index finger (out for season)
4/8/2017,Pacers,,Al Jefferson,sprained left ankle (out for season)
4/8/2017,Pelicans,,Anthony Davis,sore left knee (out for season)
4/8/2017,Pelicans,,E'Twaun Moore,sprained left ankle (out for season)
